"","Id","locus","no_miss","miss","perc_no_miss","perc_miss"
"226","mindepth_10_10_40","locus227",39,35,0.527027027027027,0.472972972972973
"227","mindepth_10_10_40","locus228",30,44,0.405405405405405,0.594594594594595
"228","mindepth_10_10_40","locus229",34,40,0.459459459459459,0.540540540540541
"229","mindepth_10_10_40","locus230",64,10,0.864864864864865,0.135135135135135
"230","mindepth_10_10_40","locus231",65,9,0.878378378378378,0.121621621621622
"231","mindepth_10_10_40","locus232",30,44,0.405405405405405,0.594594594594595
"232","mindepth_10_10_40","locus233",42,32,0.567567567567568,0.432432432432432
"233","mindepth_10_10_40","locus234",33,41,0.445945945945946,0.554054054054054
"234","mindepth_10_10_40","locus235",41,33,0.554054054054054,0.445945945945946
"235","mindepth_10_10_40","locus236",59,15,0.797297297297297,0.202702702702703
"236","mindepth_10_10_40","locus237",48,26,0.648648648648649,0.351351351351351
"237","mindepth_10_10_40","locus238",63,11,0.851351351351351,0.148648648648649
"238","mindepth_10_10_40","locus239",33,41,0.445945945945946,0.554054054054054
"239","mindepth_10_10_40","locus240",62,12,0.837837837837838,0.162162162162162
"240","mindepth_10_10_40","locus241",31,43,0.418918918918919,0.581081081081081
"241","mindepth_10_10_40","locus242",42,32,0.567567567567568,0.432432432432432
"242","mindepth_10_10_40","locus243",31,43,0.418918918918919,0.581081081081081
"243","mindepth_10_10_40","locus244",34,40,0.459459459459459,0.540540540540541
"244","mindepth_10_10_40","locus245",42,32,0.567567567567568,0.432432432432432
"245","mindepth_10_10_40","locus246",43,31,0.581081081081081,0.418918918918919
"246","mindepth_10_10_40","locus247",34,40,0.459459459459459,0.540540540540541
"247","mindepth_10_10_40","locus248",39,35,0.527027027027027,0.472972972972973
"248","mindepth_10_10_40","locus249",33,41,0.445945945945946,0.554054054054054
"249","mindepth_10_10_40","locus250",70,4,0.945945945945946,0.0540540540540541
"250","mindepth_10_10_40","locus251",32,42,0.432432432432432,0.567567567567568
"251","mindepth_10_10_40","locus252",30,44,0.405405405405405,0.594594594594595
"252","mindepth_10_10_40","locus253",43,31,0.581081081081081,0.418918918918919
"253","mindepth_10_10_40","locus254",32,42,0.432432432432432,0.567567567567568
"254","mindepth_10_10_40","locus255",63,11,0.851351351351351,0.148648648648649
"255","mindepth_10_10_40","locus256",32,42,0.432432432432432,0.567567567567568
"256","mindepth_10_10_40","locus257",64,10,0.864864864864865,0.135135135135135
"257","mindepth_10_10_40","locus258",30,44,0.405405405405405,0.594594594594595
"258","mindepth_10_10_40","locus259",33,41,0.445945945945946,0.554054054054054
"259","mindepth_10_10_40","locus260",36,38,0.486486486486487,0.513513513513513
"260","mindepth_10_10_40","locus261",67,7,0.905405405405405,0.0945945945945946
"261","mindepth_10_10_40","locus262",31,43,0.418918918918919,0.581081081081081
"262","mindepth_10_10_40","locus263",50,24,0.675675675675676,0.324324324324324
"263","mindepth_10_10_40","locus264",54,20,0.72972972972973,0.27027027027027
"264","mindepth_10_10_40","locus265",57,17,0.77027027027027,0.22972972972973
"265","mindepth_10_10_40","locus266",46,28,0.621621621621622,0.378378378378378
"266","mindepth_10_10_40","locus267",35,39,0.472972972972973,0.527027027027027
"267","mindepth_10_10_40","locus268",37,37,0.5,0.5
"268","mindepth_10_10_40","locus269",40,34,0.540540540540541,0.459459459459459
"269","mindepth_10_10_40","locus270",61,13,0.824324324324324,0.175675675675676
"270","mindepth_10_10_40","locus271",64,10,0.864864864864865,0.135135135135135
"271","mindepth_10_10_40","locus272",30,44,0.405405405405405,0.594594594594595
"272","mindepth_10_10_40","locus273",71,3,0.959459459459459,0.0405405405405405
"273","mindepth_10_10_40","locus274",35,39,0.472972972972973,0.527027027027027
"274","mindepth_10_10_40","locus275",41,33,0.554054054054054,0.445945945945946
"275","mindepth_10_10_40","locus276",33,41,0.445945945945946,0.554054054054054
"276","mindepth_10_10_40","locus277",46,28,0.621621621621622,0.378378378378378
"277","mindepth_10_10_40","locus278",31,43,0.418918918918919,0.581081081081081
"278","mindepth_10_10_40","locus279",56,18,0.756756756756757,0.243243243243243
"279","mindepth_10_10_40","locus280",34,40,0.459459459459459,0.540540540540541
"280","mindepth_10_10_40","locus281",51,23,0.689189189189189,0.310810810810811
"281","mindepth_10_10_40","locus282",56,18,0.756756756756757,0.243243243243243
"282","mindepth_10_10_40","locus283",30,44,0.405405405405405,0.594594594594595
"283","mindepth_10_10_40","locus284",42,32,0.567567567567568,0.432432432432432
"284","mindepth_10_10_40","locus285",34,40,0.459459459459459,0.540540540540541
